fecha_desaparicion;fecha_denuncia;fecha_conocimiento;zona;distrito;circuito;subcircuito;codigo_provincia;provincia;codigo_canton;canton;dias_solucion;latitud_desaparicion;longitud_desaparicion;sexo;nacionalidad;edad;rango_edad;etnia;fecha_localizacion;latitud_localizacion;longitud_localizacion;provincia_localizacion;situacion_actual;motivo_desaparicion;motivacion_desaparicion_observada;estado_desaparecido
3/10/2025;5/10/2025;5/10/2025;ZONA 9;LA DELICIA;EL MIRADOR;EL MIRADOR 2;17;PICHINCHA;1701;QUITO;259200;-0,119472;-78,466865;HOMBRE;ECUADOR;14;ADOLESCENTES;MESTIZO/A;6/10/2025;-0,126161;-78,468724;PICHINCHA;ENCONTRADO;CAUSAS FAMILIARES;NO RELACIONADOS A VIOLENCIA;DESAPARICIÓN VOLUNTARIA
3/10/2025;6/10/2025;6/10/2025;ZONA 9;ELOY ALFARO - DMQ;CHIMBACALLE;CHIMBACALLE 4;17;PICHINCHA;1701;QUITO;1296000;-0,249374;-78,517697;MUJER;ECUADOR;14;ADOLESCENTES;MESTIZO/A;18/10/2025;-0,142695;-78,500149;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
3/10/2025;8/12/2025;8/12/2025;ZONA 9;QUITUMBE;LAS CUADRAS;LAS CUADRAS 2;17;PICHINCHA;1701;QUITO;7862400;-0,298186;-78,54451;MUJER;ECUADOR;15;ADOLESCENTES;MESTIZO/A;2/1/2026;-0,142191;-78,500265;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;RELACIÓN AFECTIVA;DESAPARICIÓN VOLUNTARIA
2/10/2025;3/10/2025;5/10/2025;ZONA 9;QUITUMBE;GUAMANÍ;GUAMANÍ 5;17;PICHINCHA;1701;QUITO;864000;-0,342175;-78,573713;HOMBRE;ECUADOR;15;ADOLESCENTES;MESTIZO/A;12/10/2025;-0,142443;-78,502764;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
1/10/2025;1/10/2025;1/10/2025;ZONA 9;ELOY ALFARO - DMQ;FERROVIARIA;FERROVIARIA 6;17;PICHINCHA;1701;QUITO;86400;-0,25507;-78,506203;MUJER;ECUADOR;13;ADOLESCENTES;MESTIZO/A;2/10/2025;-0,212504;-78,507355;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;RELACIÓN AFECTIVA;DESAPARICIÓN VOLUNTARIA
1/10/2025;3/10/2025;9/10/2025;ZONA 9;QUITUMBE;GUAMANÍ;GUAMANÍ 1;17;PICHINCHA;1701;QUITO;1209600;-0,318384;-78,556114;MUJER;ECUADOR;17;ADOLESCENTES;MESTIZO/A;15/10/2025;-0,321146;-78,550968;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
1/10/2025;6/10/2025;6/10/2025;ZONA 9;ELOY ALFARO - DMQ;ARGELIA;ARGELIA 1;17;PICHINCHA;1701;QUITO;2160000;-0,278569;-78,525313;HOMBRE;ECUADOR;15;ADOLESCENTES;MESTIZO/A;26/10/2025;-2,17179;-79,805568;GUAYAS;ENCONTRADO;CAUSAS PERSONALES;RELACIÓN AFECTIVA;DESAPARICIÓN VOLUNTARIA
30/9/2025;1/10/2025;1/10/2025;ZONA 9;QUITUMBE;LAS CUADRAS;LAS CUADRAS 1;17;PICHINCHA;1701;QUITO;259200;-0,304849;-78,55714;MUJER;ECUADOR;13;ADOLESCENTES;INDIGENA;3/10/2025;-0,14038;-78,502665;PICHINCHA;ENCONTRADO;CAUSAS FAMILIARES;NO RELACIONADOS A VIOLENCIA;DESAPARICIÓN VOLUNTARIA
30/9/2025;30/9/2025;30/9/2025;ZONA 9;CALDERÓN;LOS LLANOS;LOS LLANOS 2;17;PICHINCHA;1701;QUITO;1987200;-0,114723;-78,451749;MUJER;ECUADOR;15;ADOLESCENTES;MESTIZO/A;23/10/2025;-0,142187;-78,500112;PICHINCHA;ENCONTRADO;VIOLENCIA;VIOLENCIA FÍSICA;DESAPARICIÓN VOLUNTARIA
30/9/2025;30/9/2025;30/9/2025;ZONA 9;LA DELICIA;LA ROLDÓS;LA ROLDÓS 4;17;PICHINCHA;1701;QUITO;86400;-0,099418;-78,533323;MUJER;ECUADOR;16;ADOLESCENTES;MESTIZO/A;1/10/2025;-0,328803;-78,561936;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
